TF,mean_delta,median_delta,n_targets
ZNF2,-0.025179270598825954,-0.02842406192748908,154
ZNF774,0.025063618155015725,0.08367913732094749,7
ZSCAN31,-0.025053249976400415,-0.014578529412211078,81
RFX7,-0.025024682151734475,-0.040990658997332105,20
ZNF282,0.024764516245390597,0.02572083696869021,124
ASH1L,-0.024699523117202627,-0.02322943308007036,89
CREB3,-0.024585877736998062,-0.020762407433286396,50
ZNF410,-0.024309894515965116,-0.024162266287531098,87
PRKDC,-0.024186607772480558,-0.03778106985831978,64
ZNF577,-0.02417738989875333,-0.01823891453009739,64
CEBPZ,-0.02385141480041625,-0.017094649774244575,57
ZNF213,-0.02371530090171079,-0.041525281972133427,70
BCL6B,0.023522653746277506,-0.011132457177107313,35
ZNF250,-0.023147753768804603,-0.01155236570712628,30
ALKBH3,-0.023093447694410428,-0.027447635152687284,16
HDAC8,-0.02263910675662938,-0.005315738964321207,9
ZNF768,-0.022552720062279336,-0.018281725295116236,245
NR0B1,-0.022507343715544453,-0.011393035481630065,63
EBNA1BP2,0.02235110653053015,0.047952444086566445,58
ZNF418,0.021943035072672208,-0.006802654537743072,8
MED16,-0.02187687517282231,-0.027547632553346725,6
HOXC13,0.021823429648756987,-0.03324384105644742,14
BRCA2,-0.021795764725898288,-0.017406655489691704,162
ZNF610,-0.02173076440442021,-0.009308023108027128,91
NR1H4,-0.02169043954804004,-0.0041049481025384575,76
CDC73,-0.021537248323929524,-0.01667566946797985,67
MSX1,0.021224016216368317,-0.004782987224122456,21
HOXC6,0.021120563514217764,0.03099126992989295,91
SS18,0.020984060544312916,0.02869344333941552,120
BARHL1,-0.02090893505270794,-0.016050487561095048,70
ARID3B,-0.02081238945754363,-0.0305685532639512,34
LHX2,-0.020654555475957945,-0.025632051984730127,159
PHF21A,-0.02027736853149724,-0.028089786188077476,32
ZSCAN23,0.020069263278655804,0.02516347900435434,11
KDM1B,0.020002355412156714,0.08455615194751126,13
CHAF1A,0.019936236912031273,0.019025975575768433,7
PCGF1,-0.01982550270890019,0.004859826457813299,75
